x, y, theta, stamp, 
-1.999941756705455, -0.5000009943362006, 9.248555345489925e-07, 14146000000, 
-1.9999417581643948, -0.5000009942742524, 9.257386109861453e-07, 14180000000, 
-1.999689051528495, -0.5000014976486729, -0.006230784366176646, 14214000000, 
-1.9988515207910411, -0.5000117832849148, -0.027544927499595914, 14248000000, 
-1.9975405536216215, -0.5000628388555972, -0.05624165272914605, 14282000000, 
-1.9956440393527393, -0.5001966368327856, -0.0894228711633944, 14316000000, 
-1.9929982987140975, -0.5004815138331201, -0.12955847512882146, 14350000000, 
-1.9897810573046608, -0.5009703145809685, -0.1761308467694273, 14384000000, 
-1.9765854384161734, -0.504564352317024, -0.35480011417274826, 14486000000, 
-1.9593011153503312, -0.5134163291050562, -0.592990450630867, 14588000000, 
-1.9474559975722348, -0.5230763689252151, -0.7791159132729918, 14656000000, 
-1.9333899960949996, -0.5411048843493746, -1.0411742604006708, 14758000000, 
-1.924373852606394, -0.5621102496571563, -1.2949138703509175, 14860000000, 
-1.9207894467061881, -0.5846484385811029, -1.5240748654739777, 14962000000, 
-1.9217897270238116, -0.6073658184995543, -1.6947379955494823, 15064000000, 
-1.926192898211103, -0.6296131672086923, -1.828793121564542, 15166000000, 
-1.9330178077376299, -0.650848697770286, -1.9371544655391348, 15268000000, 
-1.941683458315475, -0.6708570918994324, -2.02526027902868, 15370000000, 
-1.952006472776125, -0.6902032690695461, -2.094734017767714, 15472000000, 
-1.9637608276997338, -0.7092235985871328, -2.15328247808558, 15574000000, 
-1.9766435475758086, -0.7276716712727928, -2.2060752726922583, 15676000000, 
-1.990448174109706, -0.7454758236696385, -2.2537218247879687, 15778000000, 
-2.0050387504661065, -0.7626202564035196, -2.297741345446885, 15880000000, 
-2.0151651171673857, -0.7736935785440777, -2.3256497818009008, 15948000000, 
-2.030899789371475, -0.7897826789447919, -2.3643462852511057, 16050000000, 
-2.047205195805814, -0.8052855111182816, -2.398564710408314, 16152000000, 
-2.063992107271743, -0.8202572919141696, -2.4281442621946225, 16254000000, 
-2.0811695338912655, -0.8347671840485514, -2.451502965223526, 16356000000, 
-2.098660915611137, -0.8488911564292029, -2.4715997157064318, 16458000000, 
-2.116405143031041, -0.862692425875803, -2.488782336198867, 16560000000, 
-2.1343627678519392, -0.8762124048753741, -2.503274465350026, 16662000000, 
-2.152497138313451, -0.8894892234015652, -2.5159251701985093, 16764000000, 
-2.170780352386496, -0.9025406079153763, -2.5273224483411996, 16866000000, 
-2.189194618843689, -0.9153858639454838, -2.5375090821897164, 16968000000, 
